"option_id","option_name","option_value","autoload"
4,"siteurl","http://wp-vardskapet.azurewebsites.net","yes"
14,"home","http://wp-vardskapet.azurewebsites.net","yes"
24,"blogname","Värdskapet","yes"
34,"blogdescription","Just another WordPress site","yes"
44,"users_can_register",0,"yes"
54,"admin_email","karlperemil@gmail.com","yes"
64,"start_of_week",1,"yes"
74,"use_balanceTags",0,"yes"
84,"use_smilies",1,"yes"
94,"require_name_email",1,"yes"
104,"comments_notify",1,"yes"
114,"posts_per_rss",10,"yes"
124,"rss_use_excerpt",0,"yes"
134,"mailserver_url","mail.example.com","yes"
144,"mailserver_login","login@example.com","yes"
154,"mailserver_pass","password","yes"
164,"mailserver_port",110,"yes"
174,"default_category",1,"yes"
184,"default_comment_status","open","yes"
194,"default_ping_status","open","yes"
204,"default_pingback_flag",1,"yes"
214,"posts_per_page",10,"yes"
224,"date_format","F j, Y","yes"
234,"time_format","g:i a","yes"
244,"links_updated_date_format","F j, Y g:i a","yes"
254,"comment_moderation",0,"yes"
264,"moderation_notify",1,"yes"
274,"permalink_structure","","yes"
284,"rewrite_rules","","yes"
294,"hack_file",0,"yes"
304,"blog_charset","UTF-8","yes"
314,"moderation_keys","","no"
324,"active_plugins","a:1:{i:0;s:27:\"woocommerce/woocommerce.php\";}","yes"
334,"category_base","","yes"
344,"ping_sites","http://rpc.pingomatic.com/","yes"
354,"comment_max_links",2,"yes"
364,"gmt_offset",0,"yes"
374,"default_email_category",1,"yes"
384,"recently_edited","","no"
394,"template","storefront","yes"
404,"stylesheet","storefront","yes"
414,"comment_whitelist",1,"yes"
424,"blacklist_keys","","no"
434,"comment_registration",0,"yes"
444,"html_type","text/html","yes"
454,"use_trackback",0,"yes"
464,"default_role","subscriber","yes"
474,"db_version",38590,"yes"
484,"uploads_use_yearmonth_folders",1,"yes"
494,"upload_path","","yes"
504,"blog_public",1,"yes"
514,"default_link_category",2,"yes"
524,"show_on_front","posts","yes"
534,"tag_base","","yes"
544,"show_avatars",1,"yes"
554,"avatar_rating","G","yes"
564,"upload_url_path","","yes"
574,"thumbnail_size_w",150,"yes"
584,"thumbnail_size_h",150,"yes"
594,"thumbnail_crop",1,"yes"
604,"medium_size_w",300,"yes"
614,"medium_size_h",300,"yes"
624,"avatar_default","mystery","yes"
634,"large_size_w",1024,"yes"
644,"large_size_h",1024,"yes"
654,"image_default_link_type","none","yes"
664,"image_default_size","","yes"
674,"image_default_align","","yes"
684,"close_comments_for_old_posts",0,"yes"
694,"close_comments_days_old",14,"yes"
704,"thread_comments",1,"yes"
714,"thread_comments_depth",5,"yes"
724,"page_comments",0,"yes"
734,"comments_per_page",50,"yes"
744,"default_comments_page","newest","yes"
754,"comment_order","asc","yes"
764,"sticky_posts","a:0:{}","yes"
774,"widget_categories","a:2:{i:2;a:4:{s:5:\"title\";s:0:\"\";s:5:\"count\";i:0;s:12:\"hierarchical\";i:0;s:8:\"dropdown\";i:0;}s:12:\"_multiwidget\";i:1;}","yes"
784,"widget_text","a:0:{}","yes"
794,"widget_rss","a:0:{}","yes"
804,"uninstall_plugins","a:0:{}","no"
814,"timezone_string","","yes"
824,"page_for_posts",0,"yes"
834,"page_on_front",0,"yes"
844,"default_post_format",0,"yes"
854,"link_manager_enabled",0,"yes"
864,"finished_splitting_shared_terms",1,"yes"
874,"site_icon",0,"yes"
884,"medium_large_size_w",768,"yes"
894,"medium_large_size_h",0,"yes"
904,"initial_db_version",38590,"yes"
